altitude_km,temperature_k,pression_pa,pression_bar,co2_ppm,pression_partielle_co2_pa,concentration_co2_molecules_m3
1.500000000000000000e+00,2.783999999999999773e+02,8.455599407375644660e+04,8.455599407375644638e-01,4.200000000000000000e+02,3.551351751097770659e+01,9.239344836669502128e+21
1.600000000000000089e+00,2.777500000000000000e+02,8.352352660479760380e+04,8.352352660479760438e-01,4.200000000000000000e+02,3.507988117401499295e+01,9.147886410425721422e+21
1.699999999999999956e+00,2.770999999999999659e+02,8.250129120901727583e+04,8.250129120901728008e-01,4.200000000000000000e+02,3.465054230778725497e+01,9.057122204983650943e+21
1.800000000000000044e+00,2.764499999999999886e+02,8.148921012867633544e+04,8.148921012867633706e-01,4.200000000000000000e+02,3.422546825404405979e+01,8.967048560741596529e+21
1.899999999999999911e+00,2.757999999999999545e+02,8.048720601641615212e+04,8.048720601641615735e-01,4.200000000000000000e+02,3.380462652689477920e+01,8.877661828862939496e+21
2.000000000000000000e+00,2.751499999999999773e+02,7.949520193405098689e+04,7.949520193405098523e-01,4.200000000000000000e+02,3.338798481230141135e+01,8.788958371269772837e+21
2.100000000000000089e+00,2.745000000000000000e+02,7.851312135135947028e+04,7.851312135135947168e-01,4.200000000000000000e+02,3.297551096757097611e+01,8.700934560636342370e+21
2.200000000000000178e+00,2.738499999999999659e+02,7.754088814487760828e+04,7.754088814487760661e-01,4.200000000000000000e+02,3.256717302084859256e+01,8.613586780382586470e+21
2.299999999999999822e+00,2.731999999999999886e+02,7.657842659669266141e+04,7.657842659669266139e-01,4.200000000000000000e+02,3.216293917061091179e+01,8.526911424667652719e+21
2.399999999999999911e+00,2.725499999999999545e+02,7.562566139323703828e+04,7.562566139323704251e-01,4.200000000000000000e+02,3.176277778515955319e+01,8.440904898383358984e+21
2.500000000000000000e+00,2.718999999999999773e+02,7.468251762408376089e+04,7.468251762408376626e-01,4.200000000000000000e+02,3.136665740211517672e+01,8.355563617147684913e+21
2.600000000000000089e+00,2.712500000000000000e+02,7.374892078074176970e+04,7.374892078074176682e-01,4.200000000000000000e+02,3.097454672791154096e+01,8.270884007298215182e+21
2.700000000000000178e+00,2.705999999999999659e+02,7.282479675545282953e+04,7.282479675545282527e-01,4.200000000000000000e+02,3.058641463729018639e+01,8.186862505885613162e+21
2.799999999999999822e+00,2.699499999999999886e+02,7.191007183998879918e+04,7.191007183998879837e-01,4.200000000000000000e+02,3.020223017279529287e+01,8.103495560667071513e+21
2.899999999999999911e+00,2.692999999999999545e+02,7.100467272444917762e+04,7.100467272444918043e-01,4.200000000000000000e+02,2.982196254426865067e+01,8.020779630099691471e+21
3.000000000000000000e+00,2.686499999999999773e+02,7.010852649606043997e+04,7.010852649606044151e-01,4.200000000000000000e+02,2.944558112834538122e+01,7.938711183333970149e+21
3.100000000000000089e+00,2.680000000000000000e+02,6.922156063797506795e+04,6.922156063797506587e-01,4.200000000000000000e+02,2.907305546794952633e+01,7.857286700207148368e+21
3.200000000000000178e+00,2.673499999999999659e+02,6.834370302807178814e+04,6.834370302807178943e-01,4.200000000000000000e+02,2.870435527179014912e+01,7.776502671236623499e+21
3.299999999999999822e+00,2.666999999999999886e+02,6.747488193775690161e+04,6.747488193775690313e-01,4.200000000000000000e+02,2.833945041385789665e+01,7.696355597613349732e+21
3.399999999999999911e+00,2.660499999999999545e+02,6.661502603076545347e+04,6.661502603076545626e-01,4.200000000000000000e+02,2.797831093292148807e+01,7.616841991195178566e+21
3.500000000000000000e+00,2.653999999999999773e+02,6.576406436196422146e+04,6.576406436196422511e-01,4.200000000000000000e+02,2.762090703202497011e+01,7.537958374500246487e+21
3.600000000000000089e+00,2.647500000000000000e+02,6.492192637615430431e+04,6.492192637615430417e-01,4.200000000000000000e+02,2.726720907798480553e+01,7.459701280700282962e+21
3.700000000000000178e+00,2.640999999999999659e+02,6.408854190687555820e+04,6.408854190687556240e-01,4.200000000000000000e+02,2.691718760088773266e+01,7.382067253613978190e+21
3.799999999999999822e+00,2.634499999999999886e+02,6.326384117521120061e+04,6.326384117521119954e-01,4.200000000000000000e+02,2.657081329358870292e+01,7.305052847700305773e+21
3.899999999999999911e+00,2.627999999999999545e+02,6.244775478859282885e+04,6.244775478859282414e-01,4.200000000000000000e+02,2.622805701120898547e+01,7.228654628051781419e+21
4.000000000000000000e+00,2.621499999999999773e+02,6.164021373960735946e+04,6.164021373960736350e-01,4.200000000000000000e+02,2.588888977063508889e+01,7.152869170387848528e+21
4.099999999999999645e+00,2.615000000000000000e+02,6.084114940480320365e+04,6.084114940480320755e-01,4.200000000000000000e+02,2.555328275001734184e+01,7.077693061048071881e+21
4.200000000000000178e+00,2.608499999999999659e+02,6.005049354349830537e+04,6.005049354349830670e-01,4.200000000000000000e+02,2.522120728826928726e+01,7.003122896985456116e+21
4.299999999999999822e+00,2.601999999999999886e+02,5.926817829658893606e+04,5.926817829658893588e-01,4.200000000000000000e+02,2.489263488456735018e+01,6.929155285759726453e+21
4.400000000000000355e+00,2.595499999999999545e+02,5.849413618535813293e+04,5.849413618535813653e-01,4.200000000000000000e+02,2.456753719785041312e+01,6.855786845530517144e+21
4.500000000000000000e+00,2.588999999999999773e+02,5.772830011028642912e+04,5.772830011028643460e-01,4.200000000000000000e+02,2.424588604632029742e+01,6.783014205050661634e+21
4.599999999999999645e+00,2.582500000000000000e+02,5.697060334986211819e+04,5.697060334986211450e-01,4.200000000000000000e+02,2.392765340694208831e+01,6.710834003659387306e+21
4.700000000000000178e+00,2.575999999999999659e+02,5.622097955939279200e+04,5.622097955939279190e-01,4.200000000000000000e+02,2.361281141494497149e+01,6.639242891275516510e+21
4.799999999999999822e+00,2.569499999999999886e+02,5.547936276981788251e+04,5.547936276981788595e-01,4.200000000000000000e+02,2.330133236332351032e+01,6.568237528390698009e+21
4.900000000000000355e+00,2.562999999999999545e+02,5.474568738652137108e+04,5.474568738652136890e-01,4.200000000000000000e+02,2.299318870233897272e+01,6.497814586062558724e+21
5.000000000000000000e+00,2.556499999999999773e+02,5.401988818814578553e+04,5.401988818814578153e-01,4.200000000000000000e+02,2.268835303902122646e+01,6.427970745907900580e+21
5.099999999999999645e+00,2.549999999999999716e+02,5.330190032540648826e+04,5.330190032540649270e-01,4.200000000000000000e+02,2.238679813667072338e+01,6.358702700095822889e+21
5.200000000000000178e+00,2.543499999999999659e+02,5.259165931990740501e+04,5.259165931990740228e-01,4.200000000000000000e+02,2.208849691436110874e+01,6.290007151340919194e+21
5.299999999999999822e+00,2.536999999999999886e+02,5.188910106295675359e+04,5.188910106295675506e-01,4.200000000000000000e+02,2.179342244644183424e+01,6.221880812896366100e+21
5.400000000000000355e+00,2.530499999999999829e+02,5.119416181438398053e+04,5.119416181438397606e-01,4.200000000000000000e+02,2.150154796204126839e+01,6.154320408547051962e+21
5.500000000000000000e+00,2.523999999999999773e+02,5.050677820135763614e+04,5.050677820135763829e-01,4.200000000000000000e+02,2.121284684457020475e+01,6.087322672602712900e+21
5.599999999999999645e+00,2.517499999999999716e+02,4.982688721720351896e+04,4.982688721720351932e-01,4.200000000000000000e+02,2.092729263122547678e+01,6.020884349890988081e+21
5.700000000000000178e+00,2.510999999999999659e+02,4.915442622022394789e+04,4.915442622022394570e-01,4.200000000000000000e+02,2.064485901249405586e+01,5.955002195750517998e+21
5.799999999999999822e+00,2.504499999999999886e+02,4.848933293251786381e+04,4.848933293251786458e-01,4.200000000000000000e+02,2.036551983165750102e+01,5.889672976024018616e+21
5.900000000000000355e+00,2.497999999999999829e+02,4.783154543880130950e+04,4.783154543880130949e-01,4.200000000000000000e+02,2.008924908429654721e+01,5.824893467051315692e+21
6.000000000000000000e+00,2.491499999999999773e+02,4.718100218522916111e+04,4.718100218522915945e-01,4.200000000000000000e+02,1.981602091779624431e+01,5.760660455662392705e+21
6.099999999999999645e+00,2.484999999999999716e+02,4.653764197821748530e+04,4.653764197821748660e-01,4.200000000000000000e+02,1.954580963085134115e+01,5.696970739170437759e+21
6.200000000000000178e+00,2.478499999999999659e+02,4.590140398326643481e+04,4.590140398326643667e-01,4.200000000000000000e+02,1.927858967297190063e+01,5.633821125364824408e+21
6.299999999999999822e+00,2.471999999999999886e+02,4.527222772378426453e+04,4.527222772378426408e-01,4.200000000000000000e+02,1.901433564398939069e+01,5.571208432504130241e+21
6.400000000000000355e+00,2.465499999999999829e+02,4.465005307991195150e+04,4.465005307991194994e-01,4.200000000000000000e+02,1.875302229356301709e+01,5.509129489309116662e+21
6.500000000000000000e+00,2.458999999999999773e+02,4.403482028734870255e+04,4.403482028734870268e-01,4.200000000000000000e+02,1.849462452068645391e+01,5.447581134955711824e+21
6.599999999999999645e+00,2.452499999999999716e+02,4.342646993617808039e+04,4.342646993617808038e-01,4.200000000000000000e+02,1.823911737319479087e+01,5.386560219067945320e+21
6.700000000000000178e+00,2.445999999999999659e+02,4.282494296969526476e+04,4.282494296969526215e-01,4.200000000000000000e+02,1.798647604727200999e+01,5.326063601710933213e+21
6.799999999999999822e+00,2.439499999999999886e+02,4.223018068323465559e+04,4.223018068323465823e-01,4.200000000000000000e+02,1.773667588695855457e+01,5.266088153383767638e+21
6.900000000000000355e+00,2.432999999999999829e+02,4.164212472299850197e+04,4.164212472299850254e-01,4.200000000000000000e+02,1.748969238365937073e+01,5.206630755012445209e+21
7.000000000000000000e+00,2.426499999999999773e+02,4.106071708488657168e+04,4.106071708488657213e-01,4.200000000000000000e+02,1.724550117565235752e+01,5.147688297942791225e+21
7.099999999999999645e+00,2.419999999999999716e+02,4.048590011332610447e+04,4.048590011332610650e-01,4.200000000000000000e+02,1.700407804759696262e+01,5.089257683933325165e+21
7.200000000000000178e+00,2.413499999999999659e+02,3.991761650010295125e+04,3.991761650010295370e-01,4.200000000000000000e+02,1.676539893004323645e+01,5.031335825148141896e+21
7.299999999999999822e+00,2.406999999999999886e+02,3.935580928319337545e+04,3.935580928319337701e-01,4.200000000000000000e+02,1.652943989894121657e+01,4.973919644149776122e+21
7.400000000000000355e+00,2.400499999999999829e+02,3.880042184559666202e+04,3.880042184559666096e-01,4.200000000000000000e+02,1.629617717515059638e+01,4.917006073892042703e+21
7.500000000000000000e+00,2.393999999999999773e+02,3.825139791416854860e+04,3.825139791416855006e-01,4.200000000000000000e+02,1.606558712395078814e+01,4.860592057712871735e+21
7.599999999999999645e+00,2.387499999999999716e+02,3.770868155845552246e+04,3.770868155845552017e-01,4.200000000000000000e+02,1.583764625455131814e+01,4.804674549327132099e+21
7.700000000000000178e+00,2.380999999999999659e+02,3.717221718952973606e+04,3.717221718952973819e-01,4.200000000000000000e+02,1.561233121960248837e+01,4.749250512819420398e+21
7.799999999999999822e+00,2.374499999999999886e+02,3.664194955882493377e+04,3.664194955882493221e-01,4.200000000000000000e+02,1.538961881470647164e+01,4.694316922636858294e+21
7.900000000000000355e+00,2.367999999999999829e+02,3.611782375697311363e+04,3.611782375697311087e-01,4.200000000000000000e+02,1.516948597792870679e+01,4.639870763581867819e+21
8.000000000000000000e+00,2.361499999999999773e+02,3.559978521264196024e+04,3.559978521264196005e-01,4.200000000000000000e+02,1.495190978930962267e+01,4.585909030804923089e+21
8.099999999999999645e+00,2.354999999999999716e+02,3.508777969137317996e+04,3.508777969137317765e-01,4.200000000000000000e+02,1.473686747037673506e+01,4.532428729797303599e+21
