latitude,longitude,CO2_1000_hPa,CO2_500_hPa,CO2_300_hPa,CO2_10_hPa,CO2_1_hPa
85.0,-175.0,0.00065449753,0.0006519019,0.00064490724,0.0006271847,0.0006278636
85.0,-170.0,0.0006545357,0.0006524456,0.0006448936,0.0006271665,0.0006278576
85.0,-165.0,0.000654448,0.0006530721,0.00064483477,0.0006271599,0.00062785175
85.0,-160.0,0.00065443653,0.0006530529,0.0006440913,0.00062716356,0.00062785076
85.0,-155.0,0.0006542369,0.0006527585,0.0006433695,0.00062717823,0.0006278545
85.0,-150.0,0.00065405964,0.0006521221,0.0006429971,0.0006271893,0.00062786025
85.0,-145.0,0.0006534839,0.0006512584,0.00064266653,0.00062718726,0.0006278621
85.0,-140.0,0.0006531123,0.0006508021,0.00064263045,0.00062720483,0.000627861
85.0,-135.0,0.00065327453,0.0006509517,0.0006425849,0.0006272364,0.00062785816
85.0,-130.0,0.00065335113,0.00065178686,0.00064266723,0.00062727503,0.00062785717
85.0,-125.0,0.0006532979,0.00065299147,0.0006426696,0.0006272901,0.00062785664
85.0,-120.0,0.0006537709,0.00065316365,0.0006426227,0.0006273298,0.00062785286
85.0,-115.0,0.0006550511,0.0006538895,0.0006427207,0.00062735326,0.000627848
85.0,-110.0,0.00065408833,0.0006542451,0.0006425572,0.00062736653,0.0006278395
85.0,-105.0,0.0006531826,0.000653874,0.0006435089,0.00062737527,0.00062783115
85.0,-100.0,0.0006530317,0.000652804,0.00064352795,0.0006273781,0.00062783435
85.0,-95.0,0.0006531353,0.00065252866,0.0006432997,0.0006273949,0.0006278404
85.0,-90.0,0.00065295864,0.00065262715,0.0006429814,0.000627407,0.0006278365
85.0,-85.0,0.0006532095,0.00065261486,0.00064304273,0.00062740926,0.0006278317
85.0,-80.0,0.0006531888,0.000652725,0.0006434418,0.00062741514,0.0006278303
85.0,-75.0,0.0006529243,0.00065300765,0.0006431862,0.0006274451,0.0006278238
85.0,-70.0,0.0006527907,0.00065287255,0.0006448485,0.00062745274,0.000627822
85.0,-65.0,0.00065276626,0.00065255543,0.000644495,0.00062748167,0.000627837
85.0,-60.0,0.000652816,0.0006523882,0.00064447476,0.0006274968,0.00062785536
85.0,-55.0,0.0006528604,0.0006522342,0.0006446319,0.0006275047,0.00062786584
85.0,-50.0,0.00065293995,0.000652061,0.00064468326,0.00062755076,0.00062785926
85.0,-45.0,0.0006529571,0.0006518997,0.0006450098,0.000627661,0.0006278423
85.0,-40.0,0.00065296836,0.00065155345,0.0006452448,0.0006278948,0.00062783604
85.0,-35.0,0.0006529647,0.0006517841,0.00064539036,0.00062822097,0.0006278368
85.0,-30.0,0.0006529814,0.0006520123,0.0006457854,0.00062856666,0.00062783476
85.0,-25.0,0.0006529313,0.0006519578,0.00064798165,0.0006285905,0.00062783394
85.0,-20.0,0.0006529737,0.0006551774,0.00064936245,0.0006281416,0.0006278419
85.0,-15.0,0.0006530914,0.0006544287,0.00065167254,0.0006280862,0.0006278407
85.0,-10.0,0.00065326085,0.0006531545,0.00065249053,0.00062854704,0.000627838
85.0,-5.0,0.00065343303,0.00065305457,0.00065302115,0.00062870304,0.0006278397
85.0,0.0,0.0006534787,0.00065318163,0.0006527712,0.0006287485,0.0006278425
85.0,5.0,0.0006535725,0.00065321027,0.0006522177,0.0006287606,0.0006278471
85.0,10.0,0.0006537972,0.0006538794,0.0006520943,0.00062875246,0.00062785135
85.0,15.0,0.0006539903,0.00065367774,0.00065210566,0.0006287259,0.00062785414
85.0,20.0,0.00065394584,0.00065382884,0.000651877,0.00062865904,0.0006278552
85.0,25.0,0.0006538067,0.00065386586,0.0006516602,0.0006284482,0.0006278596
85.0,30.0,0.0006537069,0.0006536794,0.00065122824,0.00062814256,0.00062786014
85.0,35.0,0.0006535616,0.0006532647,0.00065047643,0.0006281391,0.0006278605
85.0,40.0,0.00065326114,0.00065300753,0.0006496181,0.00062844955,0.0006278654
85.0,45.0,0.0006530659,0.00065295945,0.0006490166,0.0006285737,0.0006278735
85.0,50.0,0.0006527826,0.0006517853,0.0006490278,0.00062841707,0.00062787393
85.0,55.0,0.0006526079,0.0006509206,0.0006482674,0.0006280885,0.0006278731
85.0,60.0,0.0006526178,0.0006512215,0.0006472658,0.0006278404,0.0006278756
85.0,65.0,0.00065254,0.0006523357,0.000647855,0.00062766945,0.00062787766
85.0,70.0,0.0006524775,0.0006545483,0.00064795587,0.00062757975,0.00062787824
85.0,75.0,0.00065247517,0.0006540207,0.0006488129,0.0006274965,0.0006278732
85.0,80.0,0.0006524686,0.00065213785,0.00064845773,0.00062745856,0.0006278662
85.0,85.0,0.00065245136,0.0006512562,0.0006484028,0.0006274508,0.0006278672
85.0,90.0,0.00065248064,0.0006505998,0.00064874755,0.00062744605,0.00062787323
85.0,95.0,0.0006526123,0.00065031095,0.0006473465,0.00062742305,0.0006278796
85.0,100.0,0.0006526622,0.00065036723,0.00064665586,0.00062738813,0.00062787964
85.0,105.0,0.0006528516,0.00065053964,0.0006464006,0.0006273888,0.00062788633
85.0,110.0,0.0006528498,0.00065090833,0.00064655,0.00062741124,0.00062788645
85.0,115.0,0.0006523878,0.00065148046,0.0006475015,0.0006274298,0.00062789296
85.0,120.0,0.00065257377,0.0006526591,0.0006486343,0.00062742224,0.0006278981
85.0,125.0,0.00065286254,0.00065397477,0.0006482033,0.0006274028,0.0006278981
85.0,130.0,0.0006530637,0.0006553131,0.0006478349,0.0006273923,0.00062789844
85.0,135.0,0.000653273,0.0006552887,0.0006488215,0.00062738126,0.000627904
85.0,140.0,0.00065339333,0.00065540016,0.00064893765,0.0006273626,0.00062790554
85.0,145.0,0.0006534273,0.0006554302,0.000648228,0.000627346,0.00062790373
85.0,150.0,0.0006533884,0.00065537536,0.00064717844,0.0006273373,0.0006279018
85.0,155.0,0.0006533729,0.000655374,0.0006462835,0.0006273186,0.0006278975
85.0,160.0,0.0006532785,0.00065536017,0.0006461323,0.0006272838,0.00062788825
85.0,165.0,0.00065321656,0.00065533456,0.0006471276,0.00062725536,0.00062785484
85.0,170.0,0.00065323396,0.0006553343,0.00064771227,0.00062723295,0.0006278662
85.0,175.0,0.00065405725,0.0006552207,0.00064597616,0.00062721065,0.0006278651
85.0,180.0,0.0006540866,0.00065239077,0.0006443779,0.00062720093,0.00062786223
80.0,-175.0,0.0006538438,0.0006546805,0.00065583567,0.000627819,0.0006278819
80.0,-170.0,0.0006538369,0.0006547227,0.0006542679,0.0006278219,0.00062789465
80.0,-165.0,0.00065347814,0.00065512967,0.00065219373,0.0006278571,0.0006279083
80.0,-160.0,0.0006534472,0.0006546154,0.0006497084,0.0006278976,0.00062792294
80.0,-155.0,0.00065364316,0.0006545236,0.0006490644,0.0006277416,0.000627923
80.0,-150.0,0.0006541549,0.00065454596,0.00064809696,0.00062777806,0.0006279156
80.0,-145.0,0.000655067,0.0006543727,0.00064958114,0.0006278985,0.00062792486
80.0,-140.0,0.00065478496,0.00065408205,0.0006496881,0.0006278883,0.0006279332
80.0,-135.0,0.00065452006,0.0006538569,0.0006476101,0.0006277172,0.00062792946
80.0,-130.0,0.00065453356,0.00065403694,0.00064642425,0.000627721,0.00062791276
80.0,-125.0,0.00065473624,0.00065370044,0.0006464575,0.00062766677,0.0006279124
80.0,-120.0,0.0006549675,0.0006534774,0.00064652605,0.0006276034,0.0006279035
80.0,-115.0,0.0006550584,0.0006535789,0.00064649014,0.0006274064,0.0006279015
80.0,-110.0,0.00065387343,0.00065329496,0.0006451385,0.0006272216,0.00062787964
80.0,-105.0,0.00065315026,0.0006527405,0.0006449939,0.0006272476,0.0006278617
80.0,-100.0,0.00065319374,0.00065386825,0.00064383214,0.0006272617,0.0006278498
80.0,-95.0,0.0006534867,0.0006543639,0.000642189,0.000627289,0.00062784046
80.0,-90.0,0.00065468095,0.00065384613,0.0006431182,0.00062733097,0.0006278104
80.0,-85.0,0.0006535491,0.0006530049,0.0006433037,0.0006273334,0.0006277982
80.0,-80.0,0.0006536446,0.0006546212,0.0006443932,0.00062738155,0.00062776206
80.0,-75.0,0.00065392494,0.0006523184,0.00064321,0.00062775286,0.0006277688
80.0,-70.0,0.00065501576,0.00065249065,0.00064357487,0.0006284084,0.0006277636
80.0,-65.0,0.00065360684,0.0006523485,0.0006461062,0.0006279653,0.000627761
80.0,-60.0,0.00065308856,0.00065195415,0.0006489941,0.0006288145,0.00062776223
80.0,-55.0,0.0006527744,0.00065184187,0.00064809097,0.0006290826,0.00062780484
80.0,-50.0,0.00065258413,0.00065186695,0.0006480003,0.0006295907,0.00062781945
80.0,-45.0,0.0006525741,0.0006515592,0.00064829306,0.00062894274,0.0006278343
80.0,-40.0,0.0006527237,0.00065142417,0.0006483358,0.0006290839,0.00062784844
80.0,-35.0,0.000653003,0.00065156387,0.0006481619,0.00062893593,0.00062783534
80.0,-30.0,0.0006531517,0.0006510032,0.00064913114,0.0006289643,0.00062783854
80.0,-25.0,0.00065369846,0.000652233,0.0006468649,0.0006290852,0.00062782853
80.0,-20.0,0.00065412134,0.00065480964,0.0006443216,0.00062916015,0.00062783377
80.0,-15.0,0.00065418374,0.000653697,0.0006505436,0.0006291731,0.0006278332
80.0,-10.0,0.0006538977,0.00065269717,0.00065035257,0.0006291342,0.00062783627
80.0,-5.0,0.00065368257,0.0006525302,0.00065069785,0.00062930124,0.0006278427
80.0,0.0,0.0006536634,0.0006525017,0.00065076177,0.00062924303,0.00062784564
80.0,5.0,0.0006540835,0.0006524042,0.00065047183,0.000629102,0.0006278521
80.0,10.0,0.00065377215,0.0006524584,0.0006502171,0.00062906364,0.00062786235
80.0,15.0,0.0006537733,0.0006526958,0.0006496674,0.0006290312,0.0006278693
80.0,20.0,0.00065388205,0.00065271027,0.00064817566,0.000629023,0.00062786904
80.0,25.0,0.00065382454,0.00065187115,0.00064839335,0.0006290265,0.00062786974
80.0,30.0,0.00065375963,0.00065230514,0.0006490972,0.0006290542,0.0006278686
80.0,35.0,0.00065395137,0.0006523408,0.000649141,0.0006291503,0.000627868
