2.874819338754749083e+02,2.875054857517611708e+02,2.875266485850040112e+02,2.874826620939072086e+02,2.874877909931451541e+02,2.874831446747710970e+02,2.874848351567766258e+02,2.874610338237461065e+02,2.874885894242384552e+02,2.874857307700294768e+02,2.874893564369615433e+02,2.874380842205504223e+02,2.874730973548826114e+02,2.874501087247114128e+02,2.874566834292344311e+02,2.874252866979405781e+02,2.874354349584339161e+02,2.874509244413979445e+02,2.874502571092842800e+02,2.874755520295399833e+02,2.874531709758888383e+02,2.874814344926826379e+02,2.874245159531010358e+02,2.874240066680386576e+02
2.874776285853417335e+02,2.875018941206573118e+02,2.875237071678448046e+02,2.874781049828893060e+02,2.874844530246754175e+02,2.874806121946645021e+02,2.874805988417573985e+02,2.874566181732957375e+02,2.874834419394725273e+02,2.874801670926286761e+02,2.874833698851184067e+02,2.874327038397462388e+02,2.874679380587095920e+02,2.874434484752526373e+02,2.874513286662731275e+02,2.874185707770860176e+02,2.874271850270726532e+02,2.874439021108324823e+02,2.874439908872456613e+02,2.874682526981049477e+02,2.874461157585719207e+02,2.874736179456945138e+02,2.874175431922442385e+02,2.874184892011085140e+02
2.874730006030493428e+02,2.874979524803871413e+02,2.875203925879049507e+02,2.874734264513640483e+02,2.874810353113490464e+02,2.874781377897837160e+02,2.874762939284211711e+02,2.874519789333457993e+02,2.874779609640113449e+02,2.874741338820297756e+02,2.874767957933248113e+02,2.874270749577984816e+02,2.874624570109716615e+02,2.874365065307376312e+02,2.874456557159163026e+02,2.874115569188118684e+02,2.874185897189982484e+02,2.874366562687623059e+02,2.874376869248039270e+02,2.874607736773805868e+02,2.874390948575699554e+02,2.874656661109805782e+02,2.874106795778928358e+02,2.874129962279117194e+02
2.874680028737489010e+02,2.874936076359011281e+02,2.875166486701309054e+02,2.874685978010925282e+02,2.874774956363381193e+02,2.874756635469600496e+02,2.874718814700141820e+02,2.874470880628765030e+02,2.874721208875645289e+02,2.874676095783485721e+02,2.874696159644092859e+02,2.874211736783849460e+02,2.874566216334413298e+02,2.874292736238069779e+02,2.874396474881328913e+02,2.874042582000662378e+02,2.874096709344861438e+02,2.874291887399398888e+02,2.874313342152127575e+02,2.874531081299172683e+02,2.874321028572286991e+02,2.874575750531221843e+02,2.874039176569635288e+02,2.874075023480287427e+02
2.874626131645331384e+02,2.874888315976994591e+02,2.875124395557527919e+02,2.874636065025451899e+02,2.874738063401181876e+02,2.874731435253584664e+02,2.874673361931273234e+02,2.874419325212493845e+02,2.874659108455120986e+02,2.874605881733052115e+02,2.874618384060545395e+02,2.874149940528615730e+02,2.874504216581653964e+02,2.874217623554762326e+02,2.874333127830321359e+02,2.873967168986428646e+02,2.874004786283304611e+02,2.874215242195568294e+02,2.874249398213277118e+02,2.874452671233796650e+02,2.874251472656931128e+02,2.874493648625191895e+02,2.873972678562315082e+02,2.874019971322225615e+02
2.874568679210572100e+02,2.874836582242330678e+02,2.875077840286707556e+02,2.874584857672357430e+02,2.874699807839288610e+02,2.874705683170824955e+02,2.874626684646970602e+02,2.874365343348486590e+02,2.874593537472777598e+02,2.874530973790306234e+02,2.874535262394858819e+02,2.874085726110042174e+02,2.874439009833192813e+02,2.874140361954756031e+02,2.874267160078972552e+02,2.873890368541493103e+02,2.873911206621568226e+02,2.874137382154009401e+02,2.874185527020956670e+02,2.874373020592728949e+02,2.874182673580402820e+02,2.874411086336351673e+02,2.873907836206653315e+02,2.873965096671686297e+02
2.874509019251620430e+02,2.874782218035538222e+02,2.875027967430605713e+02,2.874533507428950543e+02,2.874661089340497142e+02,2.874679989379110339e+02,2.874579618222717841e+02,2.874309922623041871e+02,2.874525522776709749e+02,2.874452496762844476e+02,2.874448443783822427e+02,2.874020315234820941e+02,2.874371989481517176e+02,2.874062497783997969e+02,2.874200137602972518e+02,2.873814149770087170e+02,2.873817986081933213e+02,2.874059932274423659e+02,2.874122978755045210e+02,2.874293448719118373e+02,2.874115707223277241e+02,2.874329662302063184e+02,2.873845927622383556e+02,2.873911450451923315e+02
2.874449795158705570e+02,2.874727831424596616e+02,2.874977206123873543e+02,2.874484271772027455e+02,2.874623886179613805e+02,2.874655983006629185e+02,2.874534130767111719e+02,2.874255305553164703e+02,2.874457453276961019e+02,2.874373071832660003e+02,2.874361061130620101e+02,2.873956243677086491e+02,2.874305857845805008e+02,2.873986857679470859e+02,2.874134850687046878e+02,2.873741607008295205e+02,2.873728366638106877e+02,2.873985695565357332e+02,2.874064085121462426e+02,2.874216508076481773e+02,2.874052740844460345e+02,2.874252100065411355e+02,2.873789234417828879e+02,2.873861201702831067e+02
2.874394668747924015e+02,2.874676995599444354e+02,2.874929012800255350e+02,2.874440276091046371e+02,2.874591057890710886e+02,2.874636149003346759e+02,2.874493171738200203e+02,2.874204852234838086e+02,2.874392959448161378e+02,2.874296706009918125e+02,2.874277483732889209e+02,2.873897170822908720e+02,2.874244365678003987e+02,2.873917294337686599e+02,2.874075038154458639e+02,2.873676621269273141e+02,2.873646505417634671e+02,2.873918385266064206e+02,2.874012045722938069e+02,2.874145791840302309e+02,2.873996877728718005e+02,2.874181964760073811e+02,2.873740804837738665e+02,2.873817445450168293e+02
2.874347568115635454e+02,2.874633517952856891e+02,2.874887149533531101e+02,2.874404856485795676e+02,2.874565722982076181e+02,2.874623255187502195e+02,2.874460023786459146e+02,2.874162321832057501e+02,2.874336143154481533e+02,2.874227951588309793e+02,2.874202450681498249e+02,2.873847112786813796e+02,2.874191544515969667e+02,2.873857910543580374e+02,2.874024643394161558e+02,2.873623124927869412e+02,2.873576683587612592e+02,2.873861888334687933e+02,2.873970262564828317e+02,2.874085192634447594e+02,2.873951493360459608e+02,2.874122953883829155e+02,2.873703815811023219e+02,2.873783534064617697e+02
