altitude_km,temperature_k,pression_pa,pression_hpa,co2_ppm,pression_partielle_co2_pa,concentration_co2_molecules_m3
1.699999999999999956e+00,2.771029543289214416e+02,8.250591436284822703e+04,8.250591436284822748e+02,4.200000000000000000e+02,3.465248403239625219e+01,9.057533174340266230e+21
1.800000000000000044e+00,2.764533120675321811e+02,8.149434156796328898e+04,8.149434156796328352e+02,4.200000000000000000e+02,3.422762345854457777e+01,8.967505785707322933e+21
1.899999999999999911e+00,2.758036902394306935e+02,8.049286638778903580e+04,8.049286638778903580e+02,4.200000000000000000e+02,3.380700388287139191e+01,8.878167371390643077e+21
2.000000000000000000e+00,2.751540888436529713e+02,7.950141106848906202e+04,7.950141106848906247e+02,4.200000000000000000e+02,3.339059264876540567e+01,8.789514234895799419e+21
2.100000000000000089e+00,2.745045078792350637e+02,7.851989827776889433e+04,7.851989827776889115e+02,4.200000000000000000e+02,3.297835727666293337e+01,8.701542691145324167e+21
2.200000000000000178e+00,2.738549473452130201e+02,7.754825110354246863e+04,7.754825110354246362e+02,4.200000000000000000e+02,3.257026546348783569e+01,8.614249066468774773e+21
2.299999999999999822e+00,2.732054072406230603e+02,7.658639305260000401e+04,7.658639305259999901e+02,4.200000000000000000e+02,3.216628508209199566e+01,8.527629698592774554e+21
2.399999999999999911e+00,2.725558875645013472e+02,7.563424804927691002e+04,7.563424804927691412e+02,4.200000000000000000e+02,3.176638418069629921e+01,8.441680936631033397e+21
2.500000000000000000e+00,2.719063883158842145e+02,7.469174043412460014e+04,7.469174043412459696e+02,4.200000000000000000e+02,3.137053098233232973e+01,8.356399141074407260e+21
2.600000000000000089e+00,2.712569094938079957e+02,7.375879496258177096e+04,7.375879496258177141e+02,4.200000000000000000e+02,3.097869388428433979e+01,8.271780683780869587e+21
2.700000000000000178e+00,2.706074510973090810e+02,7.283533680364792235e+04,7.283533680364791962e+02,4.200000000000000000e+02,3.059084145753212525e+01,8.187821947965575004e+21
2.799999999999999822e+00,2.699580131254239177e+02,7.192129153855748882e+04,7.192129153855748882e+02,4.200000000000000000e+02,3.020694244619414093e+01,8.104519328190820254e+21
2.899999999999999911e+00,2.693085955771890667e+02,7.101658515945567342e+04,7.101658515945567842e+02,4.200000000000000000e+02,2.982696576697138013e+01,8.021869230356059652e+21
3.000000000000000000e+00,2.686591984516411458e+02,7.012114406807564956e+04,7.012114406807564819e+02,4.200000000000000000e+02,2.945088050859176931e+01,7.939868071687901676e+21
3.100000000000000089e+00,2.680098217478166589e+02,6.923489507441654860e+04,6.923489507441654496e+02,4.200000000000000000e+02,2.907865593125494641e+01,7.858512280730049970e+21
3.200000000000000178e+00,2.673604654647524512e+02,6.835776539542392129e+04,6.835776539542391674e+02,4.200000000000000000e+02,2.871026146607804463e+01,7.777798297333349220e+21
3.299999999999999822e+00,2.667111296014852542e+02,6.748968265367014101e+04,6.748968265367013828e+02,4.200000000000000000e+02,2.834566671454145848e+01,7.697722572645675827e+21
3.399999999999999911e+00,2.660618141570518560e+02,6.663057487603687332e+04,6.663057487603687150e+02,4.200000000000000000e+02,2.798484144793548367e+01,7.618281569101911425e+21
3.500000000000000000e+00,2.654125191304891587e+02,6.578037049239921907e+04,6.578037049239921998e+02,4.200000000000000000e+02,2.762775560680767128e+01,7.539471760413932126e+21
3.600000000000000089e+00,2.647632445208341778e+02,6.493899833431054140e+04,6.493899833431054276e+02,4.200000000000000000e+02,2.727437930041042335e+01,7.461289631560515977e+21
3.700000000000000178e+00,2.641139903271238154e+02,6.410638763368854416e+04,6.410638763368854143e+02,4.200000000000000000e+02,2.692468280614918541e+01,7.383731678777260900e+21
3.799999999999999822e+00,2.634647565483952008e+02,6.328246802150358417e+04,6.328246802150358690e+02,4.200000000000000000e+02,2.657863656903150229e+01,7.306794409546545627e+21
3.899999999999999911e+00,2.628155431836854632e+02,6.246716952646732534e+04,6.246716952646733034e+02,4.200000000000000000e+02,2.623621120111627292e+01,7.230474342587423523e+21
4.000000000000000000e+00,2.621663502320317889e+02,6.166042257372327731e+04,6.166042257372328095e+02,4.200000000000000000e+02,2.589737748096377246e+01,7.154768007845531091e+21
4.099999999999999645e+00,2.615171776924714209e+02,6.086215798353853461e+04,6.086215798353853188e+02,4.200000000000000000e+02,2.556210635308618251e+01,7.079671946482998575e+21
4.200000000000000178e+00,2.608680255640416590e+02,6.007230696999680367e+04,6.007230696999680504e+02,4.200000000000000000e+02,2.523036892739865422e+01,7.005182710868329103e+21
4.299999999999999822e+00,2.602188938457799168e+02,5.929080113969285594e+04,5.929080113969286003e+02,4.200000000000000000e+02,2.490213647867099667e+01,6.931296864566286221e+21
4.400000000000000355e+00,2.595697825367236078e+02,5.851757249042830517e+04,5.851757249042830153e+02,4.200000000000000000e+02,2.457738044597988747e+01,6.858010982327778279e+21
4.500000000000000000e+00,2.589206916359102024e+02,5.775255340990852710e+04,5.775255340990852346e+02,4.200000000000000000e+02,2.425607243216158082e+01,6.785321650079696683e+21
4.599999999999999645e+00,2.582716211423772847e+02,5.699567667444139806e+04,5.699567667444139261e+02,4.200000000000000000e+02,2.393818420326538643e+01,6.713225464914809717e+21
4.700000000000000178e+00,2.576225710551624388e+02,5.624687544763671758e+04,5.624687544763671667e+02,4.200000000000000000e+02,2.362368768800741847e+01,6.641719035081582969e+21
4.799999999999999822e+00,2.569735413733033624e+02,5.550608327910755906e+04,5.550608327910755406e+02,4.200000000000000000e+02,2.331255497722517234e+01,6.570798979974030164e+21
4.900000000000000355e+00,2.563245320958377533e+02,5.477323410317263188e+04,5.477323410317262642e+02,4.200000000000000000e+02,2.300475832333250281e+01,6.500461930121549316e+21
5.000000000000000000e+00,2.556755432218034798e+02,5.404826223756017862e+04,5.404826223756017498e+02,4.200000000000000000e+02,2.270027013977527375e+01,6.430704527178747347e+21
5.099999999999999645e+00,2.550265747502383533e+02,5.333110238211286196e+04,5.333110238211286287e+02,4.200000000000000000e+02,2.239906300048739851e+01,6.361523423915226956e+21
5.200000000000000178e+00,2.543776266801802990e+02,5.262168961749452865e+04,5.262168961749453047e+02,4.200000000000000000e+02,2.210110963934770112e+01,6.292915284205434307e+21
