altitude_geometrique_km,altitude_geopotentielle_km,temperature_k,temperature_c,pression_pa,pression_hpa
1.399999999999999911e+00,1.399691735006604265e+00,2.790520037224570729e+02,5.902003722457095591e+00,8.560200232530357607e+04,8.560200232530357880e+02
1.500000000000000000e+00,1.499646129935425787e+00,2.784023001554197094e+02,5.252300155419732164e+00,8.455966592781676445e+04,8.455966592781676354e+02
1.600000000000000089e+00,1.599597380836523142e+00,2.777526170245625963e+02,4.602617024562619008e+00,8.352766294915736944e+04,8.352766294915736580e+02
1.699999999999999956e+00,1.699545487858235004e+00,2.771029543289214416e+02,3.952954328921464366e+00,8.250591436284822703e+04,8.250591436284822748e+02
1.800000000000000044e+00,1.799490451148891168e+00,2.764533120675321811e+02,3.303312067532203855e+00,8.149434156796328898e+04,8.149434156796328352e+02
1.899999999999999911e+00,1.899432270856811877e+00,2.758036902394306935e+02,2.653690239430716247e+00,8.049286638778903580e+04,8.049286638778903580e+02
2.000000000000000000e+00,1.999370947130308052e+00,2.751540888436529713e+02,2.004088843652994001e+00,7.950141106848906202e+04,7.950141106848906247e+02
2.100000000000000089e+00,2.099306480117681506e+00,2.745045078792350637e+02,1.354507879235086421e+00,7.851989827776889433e+04,7.851989827776889115e+02
2.200000000000000178e+00,2.199238869967224286e+00,2.738549473452130201e+02,7.049473452130428086e-01,7.754825110354246863e+04,7.754825110354246362e+02
2.299999999999999822e+00,2.299168116827219777e+00,2.732054072406230603e+02,5.540724062308299835e-02,7.658639305260000401e+04,7.658639305259999901e+02
2.399999999999999911e+00,2.399094220845940928e+00,2.725558875645013472e+02,-5.941124354986300204e-01,7.563424804927691002e+04,7.563424804927691412e+02
2.500000000000000000e+00,2.499017182171653140e+00,2.719063883158842145e+02,-1.243611684115762728e+00,7.469174043412460014e+04,7.469174043412459696e+02
2.600000000000000089e+00,2.598937000952610710e+00,2.712569094938079957e+02,-1.893090506191981603e+00,7.375879496258177096e+04,7.375879496258177141e+02
2.700000000000000178e+00,2.698853677337059054e+00,2.706074510973090810e+02,-2.542548902690896284e+00,7.283533680364792235e+04,7.283533680364791962e+02
