altitude_km,temperature_k,pressure_pa,pressure_bar,co2_ppm,co2_partial_pressure_pa,co2_number_density_m3
5.500000000000000000e+00,2.523999999999999773e+02,5.050677820135763614e+04,5.050677820135763829e-01,4.200000000000000000e+02,2.121284684457020475e+01,6.087322672602712900e+21
6.000000000000000000e+00,2.491499999999999773e+02,4.718100218522916111e+04,4.718100218522915945e-01,4.200000000000000000e+02,1.981602091779624431e+01,5.760660455662392705e+21
6.500000000000000000e+00,2.458999999999999773e+02,4.403482028734870255e+04,4.403482028734870268e-01,4.200000000000000000e+02,1.849462452068645391e+01,5.447581134955711824e+21
7.000000000000000000e+00,2.426499999999999773e+02,4.106071708488657168e+04,4.106071708488657213e-01,4.200000000000000000e+02,1.724550117565235752e+01,5.147688297942791225e+21
7.500000000000000000e+00,2.393999999999999773e+02,3.825139791416854860e+04,3.825139791416855006e-01,4.200000000000000000e+02,1.606558712395078814e+01,4.860592057712871735e+21
8.000000000000000000e+00,2.361499999999999773e+02,3.559978521264196024e+04,3.559978521264196005e-01,4.200000000000000000e+02,1.495190978930962267e+01,4.585909030804923089e+21
8.500000000000000000e+00,2.328999999999999773e+02,3.309901487335802085e+04,3.309901487335802361e-01,4.200000000000000000e+02,1.390158624681036770e+01,4.323262314806077555e+21
9.000000000000000000e+00,2.296499999999999773e+02,3.074243261209689808e+04,3.074243261209689826e-01,4.200000000000000000e+02,1.291182169708069694e+01,4.072281465722622181e+21
9.500000000000000000e+00,2.263999999999999773e+02,2.852359034726414393e+04,2.852359034726414388e-01,4.200000000000000000e+02,1.197990794585093965e+01,3.832602475117964952e+21
1.000000000000000000e+01,2.231499999999999773e+02,2.643624259269160029e+04,2.643624259269160004e-01,4.200000000000000000e+02,1.110322188893047191e+01,3.603867747011986457e+21
1.050000000000000000e+01,2.198999999999999773e+02,2.447434286347789384e+04,2.447434286347789367e-01,4.200000000000000000e+02,1.027922400266071534e+01,3.385726074535762985e+21
1.100000000000000000e+01,2.166499999999999773e+02,2.263204009500779284e+04,2.263204009500779379e-01,4.200000000000000000e+02,9.505456839903272837e+00,3.177832616335536816e+21
1.150000000000000000e+01,2.166499999999999773e+02,2.091616580481657002e+04,2.091616580481656940e-01,4.200000000000000000e+02,8.784789638022958869e+00,2.936901561865372959e+21
1.200000000000000000e+01,2.166499999999999773e+02,1.933038250807443546e+04,1.933038250807443681e-01,4.200000000000000000e+02,8.118760653391262849e+00,2.714236973888664764e+21
1.250000000000000000e+01,2.166499999999999773e+02,1.786482720568331933e+04,1.786482720568332017e-01,4.200000000000000000e+02,7.503227426386993137e+00,2.508453959125921432e+21
1.300000000000000000e+01,2.166499999999999773e+02,1.651038467322676297e+04,1.651038467322676340e-01,4.200000000000000000e+02,6.934361562755239738e+00,2.318272621583046803e+21
1.350000000000000000e+01,2.166499999999999773e+02,1.525863076756776354e+04,1.525863076756776293e-01,4.200000000000000000e+02,6.408624922378460376e+00,2.142510102060734611e+21
1.400000000000000000e+01,2.166499999999999773e+02,1.410178003172245553e+04,1.410178003172245509e-01,4.200000000000000000e+02,5.922747613323430471e+00,1.980073221197665141e+21
1.450000000000000000e+01,2.166499999999999773e+02,1.303263727213084712e+04,1.303263727213084811e-01,4.200000000000000000e+02,5.473707654294955205e+00,1.829951680289886700e+21
